Date,Close/Last,Open,High,Low,RSI
2014-12-08,2060.31,2074.84,2075.78,2054.27,63.4308333997502
2014-12-09,2059.82,2056.55,2060.6,2034.17,59.65591019666462
2014-12-10,2026.14,2058.86,2058.86,2024.26,56.43583834523061
2014-12-11,2035.33,2027.92,2055.53,2027.92,55.31049991350976
2014-12-12,2002.33,2030.36,2032.25,2002.33,53.81934099982115
2014-12-15,1989.63,2005.03,2018.69,1982.26,62.97396519350947
2014-12-16,1972.74,1986.71,2016.89,1972.56,71.82041164551552
2014-12-17,2012.89,1973.77,2016.75,1973.77,74.6357196337038
2014-12-18,2061.23,2018.98,2061.23,2018.98,71.29383968859527
2014-12-19,2070.65,2061.04,2077.85,2061.03,70.82775722270317
2014-12-22,2078.54,2069.28,2078.76,2069.28,58.3826942113889
2014-12-23,2082.17,2081.48,2086.73,2079.77,54.95834014049988
2014-12-24,2081.88,2083.25,2087.56,2081.86,53.93483709273176
2014-12-25,2081.88,0.0,0.0,0.0,63.17362473148402
2014-12-26,2088.77,2084.3,2092.7,2084.3,67.52116275355368
2014-12-29,2090.57,2087.63,2093.55,2085.75,68.22221788135086
2014-12-30,2080.35,2088.49,2088.49,2079.53,63.691073219658996
2014-12-31,2058.9,2082.11,2085.58,2057.94,62.97953495195484
2015-01-01,2058.9,0.0,0.0,0.0,60.16080364338325
2015-01-02,2058.2,2058.9,2072.36,2046.04,58.53991535175826
2015-01-05,2020.58,2054.44,2054.44,2017.34,41.8746427891027
2015-01-06,2002.61,2022.15,2030.25,1992.44,34.19909418615393
2015-01-07,2025.9,2005.55,2029.61,2005.55,31.440305905679068
2015-01-08,2062.14,2030.61,2064.08,2030.61,35.370607711203704
2015-01-09,2044.81,2063.45,2064.43,2038.33,55.57952734997344
2015-01-12,2028.26,2046.13,2049.3,2022.58,56.95190803346714
2015-01-13,2023.03,2031.58,2056.93,2008.25,61.11879089484846
2015-01-14,2011.27,2018.4,2018.4,1988.44,65.35366254242861
2015-01-15,1992.67,2013.75,2021.35,1991.47,57.020372095244916
2015-01-16,2019.42,1992.25,2020.46,1988.12,60.6558810668999
2015-01-19,2019.42,0.0,0.0,0.0,67.140990271526
