date,series,value
1997.0,Goods,264637
1998.0,Goods,278202
1999.0,Goods,291682
2000.0,Goods,302782
2001.0,Goods,317427
2002.0,Goods,325896
2003.0,Goods,340238
2004.0,Goods,351679
2005.0,Goods,360258
2006.0,Goods,375783
2007.0,Goods,391065
2008.0,Goods,402514
2009.0,Goods,399490
2010.0,Goods,413243
2011.0,Goods,429133
2012.0,Goods,440752
2013.0,Goods,463222
2014.0,Goods,469501
2015.0,Goods,477161
2016.0,Goods,496830
2017.0,Goods,519879
2018.0,Goods,539831
2019.0,Goods,554218
2020.0,Goods,524149
2021.0,Goods,562310
2022.0,Goods,633450
2023.0,Goods,662592
1997.0,Services,344204
1998.0,Services,363167
1999.0,Services,379322
2000.0,Services,399293
2001.0,Services,410755
2002.0,Services,426025
2003.0,Services,445531
2004.0,Services,471607
2005.0,Services,501990
2006.0,Services,520243
2007.0,Services,547784
2008.0,Services,564319
2009.0,Services,546152
2010.0,Services,561569
2011.0,Services,583090
2012.0,Services,608171
2013.0,Services,638900
2014.0,Services,678846
2015.0,Services,699316
2016.0,Services,736661
2017.0,Services,758810
2018.0,Services,783871
2019.0,Services,802800
2020.0,Services,673810
2021.0,Services,757123
2022.0,Services,886487
2023.0,Services,959871
