Year,Metric,Value
1961,Change inIndex,23.13
1962,Change inIndex,-11.81
1963,Change inIndex,18.89
1964,Change inIndex,12.97
1965,Change inIndex,9.06
1966,Change inIndex,-13.09
1967,Change inIndex,20.09
1968,Change inIndex,7.66
1969,Change inIndex,-11.36
1970,Change inIndex,0.1
1971,Change inIndex,10.79
1972,Change inIndex,15.63
1973,Change inIndex,-17.37
1974,Change inIndex,-29.72
1975,Change inIndex,31.55
1976,Change inIndex,19.15
1977,Change inIndex,-11.5
1978,Change inIndex,1.06
1979,Change inIndex,12.31
1980,Change inIndex,25.77
1981,Change inIndex,-9.73
1982,Change inIndex,14.76
1983,Change inIndex,17.27
1984,Change inIndex,1.4
1985,Change inIndex,26.33
1986,Change inIndex,14.62
1987,Change inIndex,2.03
1988,Change inIndex,12.4
1989,Change inIndex,27.25
1990,Change inIndex,-6.56
1991,Change inIndex,26.31
1992,Change inIndex,4.46
1993,Change inIndex,7.06
1994,Change inIndex,-1.54
1995,Change inIndex,34.11
1996,Change inIndex,20.26
1997,Change inIndex,31.01
1998,Change inIndex,26.67
1999,Change inIndex,19.53
2000,Change inIndex,-10.14
2001,Change inIndex,-13.04
2002,Change inIndex,-23.37
2003,Change inIndex,26.38
2004,Change inIndex,8.99
2005,Change inIndex,3.0
2006,Change inIndex,13.62
2007,Change inIndex,3.53
2008,Change inIndex,-38.49
2009,Change inIndex,23.45
2010,Change inIndex,12.78
2011,Change inIndex,-0.0
2012,Change inIndex,13.41
2013,Change inIndex,29.6
2014,Change inIndex,11.39
2015,Change inIndex,-0.73
2016,Change inIndex,9.54
2017,Change inIndex,19.42
2018,Change inIndex,-6.24
2019,Change inIndex,28.88
2020,Change inIndex,16.26
2021,Change inIndex,26.89
2022,Change inIndex,-19.44
2023,Change inIndex,24.23
1970,"TotalAnnual Return,includingdividends",4.01
1971,"TotalAnnual Return,includingdividends",14.31
1972,"TotalAnnual Return,includingdividends",18.98
1973,"TotalAnnual Return,includingdividends",-14.66
1974,"TotalAnnual Return,includingdividends",-26.47
1975,"TotalAnnual Return,includingdividends",37.2
1976,"TotalAnnual Return,includingdividends",23.84
1977,"TotalAnnual Return,includingdividends",-7.18
1978,"TotalAnnual Return,includingdividends",6.56
1979,"TotalAnnual Return,includingdividends",18.44
1980,"TotalAnnual Return,includingdividends",32.5
1981,"TotalAnnual Return,includingdividends",-4.92
1982,"TotalAnnual Return,includingdividends",21.55
1983,"TotalAnnual Return,includingdividends",22.56
1984,"TotalAnnual Return,includingdividends",6.27
1985,"TotalAnnual Return,includingdividends",31.73
1986,"TotalAnnual Return,includingdividends",18.67
1987,"TotalAnnual Return,includingdividends",5.25
1988,"TotalAnnual Return,includingdividends",16.61
1989,"TotalAnnual Return,includingdividends",31.69
1990,"TotalAnnual Return,includingdividends",-3.1
1991,"TotalAnnual Return,includingdividends",30.47
1992,"TotalAnnual Return,includingdividends",7.62
1993,"TotalAnnual Return,includingdividends",10.08
1994,"TotalAnnual Return,includingdividends",1.32
1995,"TotalAnnual Return,includingdividends",37.58
1996,"TotalAnnual Return,includingdividends",22.96
1997,"TotalAnnual Return,includingdividends",33.36
1998,"TotalAnnual Return,includingdividends",28.58
1999,"TotalAnnual Return,includingdividends",21.04
2000,"TotalAnnual Return,includingdividends",-9.1
2001,"TotalAnnual Return,includingdividends",-11.89
2002,"TotalAnnual Return,includingdividends",-22.1
2003,"TotalAnnual Return,includingdividends",28.68
2004,"TotalAnnual Return,includingdividends",10.88
2005,"TotalAnnual Return,includingdividends",4.91
2006,"TotalAnnual Return,includingdividends",15.79
2007,"TotalAnnual Return,includingdividends",5.49
2008,"TotalAnnual Return,includingdividends",-37.0
2009,"TotalAnnual Return,includingdividends",26.46
2010,"TotalAnnual Return,includingdividends",15.06
2011,"TotalAnnual Return,includingdividends",2.11
2012,"TotalAnnual Return,includingdividends",16.0
2013,"TotalAnnual Return,includingdividends",32.39
2014,"TotalAnnual Return,includingdividends",13.69
2015,"TotalAnnual Return,includingdividends",1.38
2016,"TotalAnnual Return,includingdividends",11.96
2017,"TotalAnnual Return,includingdividends",21.83
2018,"TotalAnnual Return,includingdividends",-4.38
2019,"TotalAnnual Return,includingdividends",31.49
2020,"TotalAnnual Return,includingdividends",18.4
2021,"TotalAnnual Return,includingdividends",28.71
2022,"TotalAnnual Return,includingdividends",-18.11
2023,"TotalAnnual Return,includingdividends",26.29
1970,"Value of $1.00invested onJanuary 1, 1970",1.04
1971,"Value of $1.00invested onJanuary 1, 1970",1.19
1972,"Value of $1.00invested onJanuary 1, 1970",1.41
1973,"Value of $1.00invested onJanuary 1, 1970",1.21
1974,"Value of $1.00invested onJanuary 1, 1970",0.89
1975,"Value of $1.00invested onJanuary 1, 1970",1.22
1976,"Value of $1.00invested onJanuary 1, 1970",1.51
1977,"Value of $1.00invested onJanuary 1, 1970",1.4
1978,"Value of $1.00invested onJanuary 1, 1970",1.49
1979,"Value of $1.00invested onJanuary 1, 1970",1.77
1980,"Value of $1.00invested onJanuary 1, 1970",2.34
