yearmo,SENT,SENT_ORTH,pdnd,ripo,nipo,cefd,s,indpro,consdur,consnon,consserv,recess,employ,cpi
195801,,,,,,,,20.16500092,,,,1,52076,28.63999939
195802,,,,,,,,19.73489952,,,,1,51576,28.70000076
195803,,,,,,,,19.49290085,,,,1,51299,28.87000084
195804,,,,,,,,19.17020035,,,,1,51027,28.94000053
195805,,,,,,,,19.35840034,,,,0,50914,28.94000053
195806,,,,,,,,19.86930084,,,,0,50914,28.90999985
195807,,,,,,,,20.16500092,,,,0,51039,28.88999939
195808,,,,,,,,20.56830025,,,,0,51233,28.94000053
195809,,,,,,,,20.75659943,,,,0,51506,28.90999985
195810,,,,,,,,20.99850082,,,,0,51485,28.90999985
195811,,,,,,,,21.61689949,,,,0,51944,28.95000076
195812,,,,,,,0.159999996,21.64380074,,,,0,52085,28.96999931
195901,,,,,,,0.170000002,21.96649933,42.29999924,125.0999985,138.6999969,0,52478,29.01000023
195902,,,,,,,0.170000002,22.39660072,44.20000076,125.4000015,140,0,52688,29
195903,,,,,,,0.200000003,22.71929932,44.40000153,127.6999969,140.5,0,53014,28.96999931
195904,,,,,,,0.219999999,23.20319939,45.09999847,125.5999985,141.5,0,53321,28.97999954
195905,,,,,,,0.230000004,23.55279922,45.40000153,128,142.8000031,0,53550,29.04000092
195906,,,,,,,0.25,23.57970047,46,127.9000015,144.3000031,0,53681,29.11000061
195907,,,,,,,0.25,23.01499939,45.40000153,127.3000031,145.1000061,0,53804,29.14999962
195908,,,,,,,0.25,22.23530006,46.20000076,127.9000015,146.1000061,0,53336,29.18000031
195909,,,,,,,0.25999999,22.20840073,47.40000153,129.3999939,147.3999939,0,53428,29.25
195910,,,,,,,0.270000011,22.04710007,44.79999924,129.8000031,148.3000031,0,53358,29.35000038
195911,,,,,,,0.270000011,22.18160057,44.70000076,129,149.1999969,0,53634,29.35000038
195912,,,,,,,0.25999999,23.55279922,42.79999924,129.6999969,150.3999939,0,54174,29.40999985
196001,,,,13.8,16,,0.270000011,24.1711998,43.20000076,129.6000061,150.8000031,0,54274,29.37000084
196002,,,,8,16,,0.25999999,23.95610046,45.70000076,128.3999939,151.1999969,0,54513,29.40999985
196003,,,,19.4,21,,0.25,23.74099922,47.40000153,130.8000031,151.8999939,0,54454,29.40999985
196004,,,3.570477009,15.9,16,,0.25,23.55279922,49.09999847,134.1000061,153.3000031,1,54813,29.54000092
196005,,,11.40857029,25.3,19,,0.25,23.52589989,45.70000076,130.3000031,154,1,54475,29.56999969
