Seal,Name,Name(in Thai),Population,Area (km2),Population density,Capital,HS[7],ISO[8],FIPS
,Bangkok (special administrative area),กรุงเทพมหานคร,"5,702,000","1,564","3,623",Bangkok,BKK,TH-10,TH40
,Amnat Charoen,อำนาจเจริญ,"402,000","3,290",115,Amnat Charoen,ACR,TH-37,TH77
,Ang Thong,อ่างทอง,"301,000",950,294,Ang Thong,ATG,TH-15,TH35
,Bueng Kan,บึงกาฬ,"450,000","4,003",106,Bueng Kan,BKN,TH-38,TH81
,Buriram,บุรีรัมย์,"1,623,000","10,080",159,Buriram,BRM,TH-31,TH28
,Chachoengsao,ฉะเชิงเทรา,"754,000","5,169",139,Chachoengsao,CCO,TH-24,TH44
,Chai Nat,ชัยนาท,"331,000","2,506",131,Chai Nat,CNT,TH-18,TH32
,Chaiyaphum,ชัยภูมิ,"1,156,000","12,698",91,Chaiyaphum,CPM,TH-36,TH26
,Chanthaburi,จันทบุรี,"572,000","6,415",84,Chanthaburi,CTI,TH-22,TH48
,Chiang Mai,เชียงใหม่,"1,820,000","20,107",79,Chiang Mai,CMI,TH-50,TH02
,Chiang Rai,เชียงราย,"1,315,000","11,503",113,Chiang Rai,CRI,TH-57,TH03
,Chonburi,ชลบุรี,"1,603,000","4,508",346,Chonburi,CBI,TH-20,TH46
,Chumphon,ชุมพร,"524,000","5,998",85,Chumphon,CPN,TH-86,TH58
,Kalasin,กาฬสินธุ์,"1,010,000","6,936",142,Kalasin,KSN,TH-46,TH23
,Kamphaeng Phet,กำแพงเพชร,"748,000","8,512",86,Kamphaeng Phet,KPT,TH-62,TH11
,Kanchanaburi,กาญจนบุรี,"914,000","19,385",46,Kanchanaburi,KRI,TH-71,TH50
,Khon Kaen,ขอนแก่น,"1,826,000","10,659",169,Khon Kaen,KKN,TH-40,TH22
,Krabi,กระบี่,"500,000","5,323",90,Krabi,KBI,TH-81,TH63
,Lampang,ลำปาง,"762,000","12,488",59,Lampang,LPG,TH-52,TH06
,Lamphun,ลำพูน,"421,000","4,478",92,Lamphun,LPN,TH-51,TH05
