ITL,ITL code,Area,Population,Gross Domestic Product (£m),GDP Growth 2010-19 (%),Gross Value Added (£),GDP per capita (£),Employment (%),Unemployment (%),Economic Inactivity (%),Unemployment Claimants (%)
ITL3,TLC11,Hartlepool and Stockton-on-Tees,291011,7673,12.5,6757,26367,70.2,6.4,25.0,4.7
ITL3,TLC12,South Teesside,278130,5697,9.8,4831,20483,65.1,6.4,30.4,4.9
ITL3,TLC13,Darlington,106803,2975,50.9,2641,27851,74.2,6.3,20.6,4.4
ITL3,TLC14,Durham CC,530094,10675,3.1,9032,20139,71.2,5.6,24.5,3.8
ITL3,TLC21,Northumberland,322434,6387,7.4,5286,19809,72.3,5.7,23.0,3.1
ITL3,TLC22,Tyneside,863764,23396,22.4,20428,27086,71.3,5.1,24.8,4.4
ITL3,TLC23,Sunderland,277705,8293,19.9,7335,29863,69.3,6.9,25.5,4.7
ITL3,TLD11,West Cumbria,232993,5889,9.4,5152,25277,73.9,3.6,23.3,2.9
ITL3,TLD12,East Cumbria,267019,8268,8.8,7260,30963,82.8,1.5,15.9,1.5
ITL3,TLD33,Manchester,552858,27476,37.6,25533,49697,66.8,6.2,28.7,4.1
ITL3,TLD34,Greater Manchester South West,496188,19337,28.4,17668,38971,77.6,4.8,18.4,3.1
ITL3,TLD35,Greater Manchester South East,519916,12106,10.7,10567,23284,76.0,4.3,20.4,3.1
ITL3,TLD36,Greater Manchester North West,616212,13104,15.7,11221,21265,73.3,4.9,22.8,3.8
ITL3,TLD37,Greater Manchester North East,650512,13527,20.2,11555,20794,71.4,4.7,25.0,4.1
ITL3,TLD41,Blackburn with Darwen,149696,3624,20.5,3177,24209,68.0,5.2,28.4,4.6
ITL3,TLD42,Blackpool,139446,3306,19.5,2902,23711,72.8,5.7,22.7,5.8
ITL3,TLD44,Lancaster and Wyre,258129,5557,22.3,4659,21528,71.3,3.3,26.1,2.7
ITL3,TLD45,Mid Lancashire,395591,13971,6.2,12622,35317,83.7,1.8,14.7,2.3
ITL3,TLD46,East Lancashire,333557,7446,17.8,6399,22324,75.0,4.0,21.7,3.8
