year,Category,Median_Price
1988,Chocolate,0.19
1989,Chocolate,0.19
1990,Chocolate,0.2
1991,Chocolate,0.22
1992,Chocolate,0.23
1993,Chocolate,0.23999999
1994,Chocolate,0.25
1995,Chocolate,0.25999999
1996,Chocolate,0.27000001
1997,Chocolate,0.28
1998,Chocolate,0.28999999
1999,Chocolate,0.30000001
2000,Chocolate,0.30000001
2001,Chocolate,0.31999999
2002,Chocolate,0.34
2003,Chocolate,0.36000001
2004,Chocolate,0.38
2005,Chocolate,0.40000001
2006,Chocolate,0.41
2007,Chocolate,0.44999999
2008,Chocolate,0.47
2009,Chocolate,0.5
2010,Chocolate,0.54000002
2011,Chocolate,0.58999997
2012,Chocolate,0.64999998
2013,Chocolate,0.69
2014,Chocolate,0.69999999
2015,Chocolate,0.69
2016,Chocolate,0.75
2017,Chocolate,0.75
2018,Chocolate,0.75
2019,Chocolate,0.75
2020,Chocolate,0.79000002
2021,Chocolate,0.75
2022,Chocolate,0.81
2023,Chocolate,0.89999998
2024,Chocolate,1.0
1990,Flower Delivery,9.3500004
1991,Flower Delivery,10.2
1992,Flower Delivery,10.2
1993,Flower Delivery,10.2
1994,Flower Delivery,10.45
1995,Flower Delivery,10.49
1996,Flower Delivery,10.99
1997,Flower Delivery,3.99
1998,Flower Delivery,3.0
1999,Flower Delivery,3.2
2000,Flower Delivery,3.2
2001,Flower Delivery,4.0
2001,Teddy Bear,9.4899998
2002,Teddy Bear,9.9899998
2003,Teddy Bear,9.9899998
2004,Teddy Bear,9.9899998
2005,Teddy Bear,7.9899998
2006,Teddy Bear,7.9899998
2007,Teddy Bear,7.9899998
2008,Teddy Bear,9.9899998
2009,Teddy Bear,10.0
2010,Teddy Bear,8.9899998
2011,Teddy Bear,8.0799999
2012,Teddy Bear,8.0
2013,Teddy Bear,8.0
2014,Teddy Bear,8.9899998
2015,Teddy Bear,8.9899998
2016,Teddy Bear,9.9899998
2017,Teddy Bear,9.9899998
2018,Teddy Bear,8.0
2019,Teddy Bear,8.0
2020,Teddy Bear,10.0
2021,Teddy Bear,10.0
2022,Teddy Bear,9.0
2023,Teddy Bear,10.0
2024,Teddy Bear,9.0
