Country,ISO3,value,date
Zimbabwe,ZWE,48.9799270629883,2021-01-01
Zambia,ZMB,46.685115814209,2021-01-01
"Yemen, Rep.",YEM,74.877197265625,2021-01-01
West Bank and Gaza,PSE,100.0,2021-01-01
Virgin Islands (U.S.),VIR,100.0,2021-01-01
Viet Nam,VNM,100.0,2021-01-01
"Venezuela, RB",VEN,99.9877166748047,2021-01-01
Vanuatu,VUT,70.0427703857422,2021-01-01
Uzbekistan,UZB,99.9,2021-01-01
Uruguay,URY,100.0,2021-01-01
United States,USA,100.0,2021-01-01
United Kingdom,GBR,100.0,2021-01-01
United Arab Emirates,ARE,100.0,2021-01-01
Ukraine,UKR,100.0,2021-01-01
Uganda,UGA,45.2203483581543,2021-01-01
Tuvalu,TUV,99.6823654174805,2021-01-01
Turks and Caicos Islands,TCA,100.0,2021-01-01
Turkmenistan,TKM,100.0,2021-01-01
Turkiye,TUR,100.0,2021-01-01
Tunisia,TUN,99.9,2021-01-01
Trinidad and Tobago,TTO,100.0,2021-01-01
Tonga,TON,100.0,2021-01-01
Togo,TGO,55.7401161193848,2021-01-01
Timor-Leste,TLS,100.0,2021-01-01
Thailand,THA,100.0,2021-01-01
Tanzania,TZA,42.7433624267578,2021-01-01
Tajikistan,TJK,99.5654678344727,2021-01-01
Syrian Arab Republic,SYR,88.8245315551758,2021-01-01
Switzerland,CHE,100.0,2021-01-01
Sweden,SWE,100.0,2021-01-01
Suriname,SUR,98.8232574462891,2021-01-01
Sudan,SDN,61.7677192687988,2021-01-01
St. Vincent and the Grenadines,VCT,100.0,2021-01-01
St. Martin (French part),MAF,100.0,2021-01-01
St. Lucia,LCA,100.0,2021-01-01
St. Kitts and Nevis,KNA,100.0,2021-01-01
Sri Lanka,LKA,100.0,2021-01-01
Spain,ESP,100.0,2021-01-01
South Sudan,SSD,7.74776268005371,2021-01-01
South Africa,ZAF,89.3,2021-01-01
Somalia,SOM,49.3240242004395,2021-01-01
Solomon Islands,SLB,76.347526550293,2021-01-01
Slovenia,SVN,100.0,2021-01-01
Slovak Republic,SVK,100.0,2021-01-01
Sint Maarten (Dutch part),SXM,100.0,2021-01-01
Singapore,SGP,100.0,2021-01-01
Sierra Leone,SLE,27.4940490722656,2021-01-01
Seychelles,SYC,100.0,2021-01-01
Serbia,SRB,100.0,2021-01-01
Senegal,SEN,67.975341796875,2021-01-01
Saudi Arabia,SAU,100.0,2021-01-01
Sao Tome and Principe,STP,78.4511108398438,2021-01-01
San Marino,SMR,100.0,2021-01-01
Samoa,WSM,98.3,2021-01-01
Rwanda,RWA,48.7004356384277,2021-01-01
Russian Federation,RUS,100.0,2021-01-01
Romania,ROU,100.0,2021-01-01
Qatar,QAT,100.0,2021-01-01
Puerto Rico,PRI,100.0,2021-01-01
Portugal,PRT,100.0,2021-01-01
Poland,POL,100.0,2021-01-01
Philippines,PHL,97.4899749755859,2021-01-01
Peru,PER,95.6,2021-01-01
Paraguay,PRY,100.0,2021-01-01
Papua New Guinea,PNG,20.9166011810303,2021-01-01
Panama,PAN,95.251082548876,2021-01-01
Palau,PLW,100.0,2021-01-01
Pakistan,PAK,94.9228591918945,2021-01-01
Oman,OMN,100.0,2021-01-01
Norway,NOR,100.0,2021-01-01
Northern Mariana Islands,MNP,100.0,2021-01-01
North Macedonia,MKD,100.0,2021-01-01
Nigeria,NGA,59.5,2021-01-01
Niger,NER,18.6,2021-01-01
Nicaragua,NIC,86.2914733886719,2021-01-01
New Zealand,NZL,100.0,2021-01-01
New Caledonia,NCL,100.0,2021-01-01
Netherlands,NLD,100.0,2021-01-01
Nepal,NPL,89.9,2021-01-01
Nauru,NRU,100.0,2021-01-01
Namibia,NAM,55.2253189086914,2021-01-01
Myanmar,MMR,72.4668197631836,2021-01-01
Mozambique,MOZ,31.4940395355225,2021-01-01
Morocco,MAR,100.0,2021-01-01
Montenegro,MNE,99.7984313964844,2021-01-01
Mongolia,MNG,100.0,2021-01-01
Monaco,MCO,100.0,2021-01-01
Moldova,MDA,100.0,2021-01-01
"Micronesia, Fed. Sts.",FSM,83.6249771118164,2021-01-01
Mexico,MEX,100.0,2021-01-01
Mauritius,MUS,99.6,2021-01-01
Mauritania,MRT,47.6958427429199,2021-01-01
Marshall Islands,MHL,99.7535781860352,2021-01-01
Malta,MLT,100.0,2021-01-01
Mali,MLI,53.3801879882813,2021-01-01
Maldives,MDV,100.0,2021-01-01
Malaysia,MYS,100.0,2021-01-01
Malawi,MWI,14.188422203064,2021-01-01
Madagascar,MDG,35.1209335327148,2021-01-01
"Macao SAR, China",MAC,100.0,2021-01-01
Luxembourg,LUX,100.0,2021-01-01
Lithuania,LTU,100.0,2021-01-01
Liechtenstein,LIE,100.0,2021-01-01
Libya,LBY,70.2104797363281,2021-01-01
Liberia,LBR,29.8482437133789,2021-01-01
Lesotho,LSO,50.3774719238281,2021-01-01
Lebanon,LBN,100.0,2021-01-01
Latvia,LVA,100.0,2021-01-01
Lao PDR,LAO,100.0,2021-01-01
Kyrgyz Republic,KGZ,99.6737289428711,2021-01-01
Kuwait,KWT,100.0,2021-01-01
"Korea, Rep.",KOR,100.0,2021-01-01
"Korea, Dem. People's Rep.",PRK,52.6305618286133,2021-01-01
Kiribati,KIR,92.8336334228516,2021-01-01
Kenya,KEN,76.5424499511719,2021-01-01
Kazakhstan,KAZ,100.0,2021-01-01
Jordan,JOR,99.9,2021-01-01
Japan,JPN,100.0,2021-01-01
Jamaica,JAM,100.0,2021-01-01
Italy,ITA,100.0,2021-01-01
Israel,ISR,100.0,2021-01-01
Isle of Man,IMN,100.0,2021-01-01
Ireland,IRL,100.0,2021-01-01
Iraq,IRQ,100.0,2021-01-01
"Iran, Islamic Rep.",IRN,100.0,2021-01-01
Indonesia,IDN,99.21,2021-01-01
India,IND,99.5725250244141,2021-01-01
Iceland,ISL,100.0,2021-01-01
Hungary,HUN,100.0,2021-01-01
"Hong Kong SAR, China",HKG,100.0,2021-01-01
Honduras,HND,94.131591796875,2021-01-01
Haiti,HTI,47.1803321838379,2021-01-01
Guyana,GUY,92.8982315063477,2021-01-01
Guinea-Bissau,GNB,35.7637939453125,2021-01-01
Guinea,GIN,46.8138694763184,2021-01-01
Guatemala,GTM,97.8656539916992,2021-01-01
Guam,GUM,100.0,2021-01-01
Grenada,GRD,93.7402954101563,2021-01-01
Greenland,GRL,100.0,2021-01-01
Greece,GRC,100.0,2021-01-01
Gibraltar,GIB,100.0,2021-01-01
Ghana,GHA,86.3,2021-01-01
Germany,DEU,100.0,2021-01-01
Georgia,GEO,100.0,2021-01-01
"Gambia, The",GMB,63.6973609924316,2021-01-01
Gabon,GAB,91.8064041137695,2021-01-01
French Polynesia,PYF,100.0,2021-01-01
France,FRA,100.0,2021-01-01
Finland,FIN,100.0,2021-01-01
Fiji,FJI,92.1,2021-01-01
Faroe Islands,FRO,100.0,2021-01-01
Ethiopia,ETH,54.1884155273438,2021-01-01
Eswatini,SWZ,82.9031753540039,2021-01-01
Estonia,EST,100.0,2021-01-01
Eritrea,ERI,52.5140495300293,2021-01-01
Equatorial Guinea,GNQ,66.786994934082,2021-01-01
El Salvador,SLV,97.89,2021-01-01
"Egypt, Arab Rep.",EGY,100.0,2021-01-01
Ecuador,ECU,100.0,2021-01-01
Dominican Republic,DOM,98.1,2021-01-01
Dominica,DMA,100.0,2021-01-01
Djibouti,DJI,65.4412536621094,2021-01-01
Denmark,DNK,100.0,2021-01-01
Czechia,CZE,100.0,2021-01-01
Cyprus,CYP,100.0,2021-01-01
Curacao,CUW,100.0,2021-01-01
Cuba,CUB,100.0,2021-01-01
Croatia,HRV,100.0,2021-01-01
Cote d'Ivoire,CIV,71.136848449707,2021-01-01
Costa Rica,CRI,100.0,2021-01-01
"Congo, Rep.",COG,49.6572036743164,2021-01-01
"Congo, Dem. Rep.",COD,20.7681865692139,2021-01-01
Comoros,COM,87.9426040649414,2021-01-01
Colombia,COL,99.9991073608398,2021-01-01
China,CHN,100.0,2021-01-01
Chile,CHL,100.0,2021-01-01
Channel Islands,CHI,100.0,2021-01-01
Chad,TCD,11.2685585021973,2021-01-01
Central African Republic,CAF,15.6802768707275,2021-01-01
Cayman Islands,CYM,100.0,2021-01-01
Canada,CAN,100.0,2021-01-01
Cameroon,CMR,65.4467086791992,2021-01-01
Cambodia,KHM,82.5017166137695,2021-01-01
Cabo Verde,CPV,95.5214157104492,2021-01-01
Burundi,BDI,10.2338275909424,2021-01-01
Burkina Faso,BFA,18.9506874084473,2021-01-01
Bulgaria,BGR,99.8,2021-01-01
Brunei Darussalam,BRN,100.0,2021-01-01
British Virgin Islands,VGB,100.0,2021-01-01
Brazil,BRA,99.4621200561523,2021-01-01
Botswana,BWA,73.7259063720703,2021-01-01
Bosnia and Herzegovina,BIH,100.0,2021-01-01
Bolivia,BOL,98.5562286376953,2021-01-01
Bhutan,BTN,100.0,2021-01-01
Bermuda,BMU,100.0,2021-01-01
Benin,BEN,41.9736328125,2021-01-01
Belize,BLZ,97.6921463012695,2021-01-01
Belgium,BEL,100.0,2021-01-01
Belarus,BLR,100.0,2021-01-01
Barbados,BRB,100.0,2021-01-01
Bangladesh,BGD,98.9910278320313,2021-01-01
Bahrain,BHR,100.0,2021-01-01
"Bahamas, The",BHS,100.0,2021-01-01
Azerbaijan,AZE,100.0,2021-01-01
Austria,AUT,100.0,2021-01-01
Australia,AUS,100.0,2021-01-01
Aruba,ABW,100.0,2021-01-01
Armenia,ARM,100.0,2021-01-01
Argentina,ARG,100.0,2021-01-01
Antigua and Barbuda,ATG,100.0,2021-01-01
Angola,AGO,48.2238540649414,2021-01-01
Andorra,AND,100.0,2021-01-01
Algeria,DZA,99.7878265380859,2021-01-01
Albania,ALB,100.0,2021-01-01
Afghanistan,AFG,97.7,2021-01-01
