Country,ISO3,value,date
Zimbabwe,ZWE,0.530483547000938,2020-01-01
Zambia,ZMB,0.40190271250386,2020-01-01
"Yemen, Rep.",YEM,0.308514614308256,2020-01-01
Viet Nam,VNM,3.67644008813984,2020-01-01
"Venezuela, RB",VEN,2.54502797831961,2020-01-01
Vanuatu,VUT,0.389174968317372,2020-01-01
Uzbekistan,UZB,3.37630378548758,2020-01-01
Uruguay,URY,1.89971905049917,2020-01-01
United States,USA,13.0328279519898,2020-01-01
United Kingdom,GBR,4.60114225090135,2020-01-01
United Arab Emirates,ARE,20.2522716801426,2020-01-01
Ukraine,UKR,3.75381618922792,2020-01-01
Uganda,UGA,0.127793034826946,2020-01-01
Tuvalu,TUV,0.596259824735748,2020-01-01
Turkmenistan,TKM,10.1840862992321,2020-01-01
Turkiye,TUR,4.8858639260833,2020-01-01
Tunisia,TUN,2.4086225282388,2020-01-01
Trinidad and Tobago,TTO,10.1571191722541,2020-01-01
Tonga,TON,1.12204761814278,2020-01-01
Togo,TGO,0.286061843654428,2020-01-01
Timor-Leste,TLS,0.343155165981408,2020-01-01
Thailand,THA,3.71425580600412,2020-01-01
Tanzania,TZA,0.233945592120175,2020-01-01
Tajikistan,TJK,0.977533024275801,2020-01-01
Syrian Arab Republic,SYR,1.21480248375323,2020-01-01
Switzerland,CHE,4.04207281475341,2020-01-01
Sweden,SWE,3.24298914312747,2020-01-01
Suriname,SUR,4.28507655687612,2020-01-01
Sudan,SDN,0.467953928316626,2020-01-01
St. Vincent and the Grenadines,VCT,2.100695771848,2020-01-01
St. Lucia,LCA,2.78513922906543,2020-01-01
St. Kitts and Nevis,KNA,4.84866294446077,2020-01-01
Sri Lanka,LKA,0.99668324284867,2020-01-01
Spain,ESP,4.2795945712141,2020-01-01
South Sudan,SSD,0.16430913651009,2020-01-01
South Africa,ZAF,6.68756314737781,2020-01-01
Somalia,SOM,0.0399346532651356,2020-01-01
Solomon Islands,SLB,0.323065549175264,2020-01-01
Slovenia,SVN,5.93473517885826,2020-01-01
Slovak Republic,SVK,5.31905480792852,2020-01-01
Singapore,SGP,7.68668370206727,2020-01-01
Sierra Leone,SLE,0.127277607278142,2020-01-01
Seychelles,SYC,6.08051837257013,2020-01-01
Serbia,SRB,6.71451717217514,2020-01-01
Senegal,SEN,0.649800561203009,2020-01-01
Saudi Arabia,SAU,14.2665853675408,2020-01-01
Sao Tome and Principe,STP,0.645350140184137,2020-01-01
Samoa,WSM,0.960782397908146,2020-01-01
Rwanda,RWA,0.105124140047262,2020-01-01
Russian Federation,RUS,11.2322880672434,2020-01-01
Romania,ROU,3.56413750145988,2020-01-01
Qatar,QAT,31.7268424513247,2020-01-01
Portugal,PRT,3.78490758691711,2020-01-01
Poland,POL,7.36756337292709,2020-01-01
Philippines,PHL,1.18967945167284,2020-01-01
Peru,PER,1.39856601861908,2020-01-01
Paraguay,PRY,1.14459119207034,2020-01-01
Papua New Guinea,PNG,0.563251566211675,2020-01-01
Panama,PAN,2.23144302481653,2020-01-01
Palau,PLW,8.80258179390162,2020-01-01
Pakistan,PAK,0.81036021551031,2020-01-01
Oman,OMN,15.6362010028175,2020-01-01
Norway,NOR,6.7250800496331,2020-01-01
North Macedonia,MKD,3.27942018720106,2020-01-01
Nigeria,NGA,0.537510175389551,2020-01-01
Niger,NER,0.0903255776910309,2020-01-01
Nicaragua,NIC,0.678252104273379,2020-01-01
New Zealand,NZL,6.16079918274331,2020-01-01
Netherlands,NLD,7.4715534787719,2020-01-01
Nepal,NPL,0.509366247354604,2020-01-01
Nauru,NRU,3.36175395858709,2020-01-01
Namibia,NAM,1.58804514727825,2020-01-01
Myanmar,MMR,0.634080348390974,2020-01-01
Mozambique,MOZ,0.222767552715213,2020-01-01
Morocco,MAR,1.81852638730999,2020-01-01
Montenegro,MNE,4.06756091201437,2020-01-01
Mongolia,MNG,6.43064533509798,2020-01-01
Moldova,MDA,3.26784636811087,2020-01-01
"Micronesia, Fed. Sts.",FSM,0.958913885073056,2020-01-01
Mexico,MEX,3.04076637477226,2020-01-01
Mauritius,MUS,2.93851410805884,2020-01-01
Mauritania,MRT,0.855176405836122,2020-01-01
Marshall Islands,MHL,2.53380323866123,2020-01-01
Malta,MLT,3.12555789277592,2020-01-01
Mali,MLI,0.195565971417317,2020-01-01
Maldives,MDV,2.82638529813116,2020-01-01
Malaysia,MYS,7.38371541222915,2020-01-01
