Country,ISO3,value,date
Zimbabwe,ZWE,59.253,2021-01-01
Zambia,ZMB,61.223,2021-01-01
"Yemen, Rep.",YEM,63.753,2021-01-01
West Bank and Gaza,PSE,73.473,2021-01-01
Virgin Islands (U.S.),VIR,80.0682926829268,2021-01-01
Viet Nam,VNM,73.618,2021-01-01
"Venezuela, RB",VEN,70.554,2021-01-01
Vanuatu,VUT,70.449,2021-01-01
Uzbekistan,UZB,70.862,2021-01-01
Uruguay,URY,75.436,2021-01-01
United States,USA,76.3292682926829,2021-01-01
United Kingdom,GBR,80.7,2021-01-01
United Arab Emirates,ARE,78.71,2021-01-01
Ukraine,UKR,69.6478048780488,2021-01-01
Uganda,UGA,62.705,2021-01-01
Tuvalu,TUV,64.547,2021-01-01
Turks and Caicos Islands,TCA,74.587,2021-01-01
Turkmenistan,TKM,69.264,2021-01-01
Turkiye,TUR,76.032,2021-01-01
Tunisia,TUN,73.772,2021-01-01
Trinidad and Tobago,TTO,72.971,2021-01-01
Tonga,TON,70.986,2021-01-01
Togo,TGO,61.619,2021-01-01
Timor-Leste,TLS,67.737,2021-01-01
Thailand,THA,78.715,2021-01-01
Tanzania,TZA,66.201,2021-01-01
Tajikistan,TJK,71.594,2021-01-01
Syrian Arab Republic,SYR,72.063,2021-01-01
Switzerland,CHE,83.8512195121951,2021-01-01
Sweden,SWE,83.1560975609756,2021-01-01
Suriname,SUR,70.274,2021-01-01
Sudan,SDN,65.267,2021-01-01
St. Vincent and the Grenadines,VCT,69.629,2021-01-01
St. Martin (French part),MAF,80.379,2021-01-01
St. Lucia,LCA,71.111,2021-01-01
St. Kitts and Nevis,KNA,71.682,2021-01-01
Sri Lanka,LKA,76.399,2021-01-01
Spain,ESP,83.1780487804878,2021-01-01
South Sudan,SSD,54.975,2021-01-01
South Africa,ZAF,62.341,2021-01-01
Somalia,SOM,55.28,2021-01-01
Solomon Islands,SLB,70.348,2021-01-01
Slovenia,SVN,80.8756097560976,2021-01-01
Slovak Republic,SVK,74.7146341463415,2021-01-01
Sint Maarten (Dutch part),SXM,73.972,2021-01-01
Singapore,SGP,83.4414634146342,2021-01-01
Sierra Leone,SLE,60.062,2021-01-01
Seychelles,SYC,73.3975609756097,2021-01-01
Serbia,SRB,72.7307317073171,2021-01-01
Senegal,SEN,67.093,2021-01-01
Saudi Arabia,SAU,76.936,2021-01-01
Sao Tome and Principe,STP,67.591,2021-01-01
Samoa,WSM,72.767,2021-01-01
Rwanda,RWA,66.072,2021-01-01
Russian Federation,RUS,69.3612195121951,2021-01-01
Romania,ROU,72.9609756097561,2021-01-01
Qatar,QAT,79.272,2021-01-01
Puerto Rico,PRI,80.162,2021-01-01
Portugal,PRT,81.0731707317073,2021-01-01
Poland,POL,75.6024390243903,2021-01-01
Philippines,PHL,69.266,2021-01-01
Peru,PER,72.377,2021-01-01
Paraguay,PRY,70.262,2021-01-01
Papua New Guinea,PNG,65.351,2021-01-01
Panama,PAN,76.223,2021-01-01
Pakistan,PAK,66.098,2021-01-01
Oman,OMN,72.541,2021-01-01
Norway,NOR,83.1634146341463,2021-01-01
North Macedonia,MKD,74.5368292682927,2021-01-01
Nigeria,NGA,52.676,2021-01-01
Niger,NER,61.576,2021-01-01
Nicaragua,NIC,73.837,2021-01-01
New Zealand,NZL,82.2073170731707,2021-01-01
New Caledonia,NCL,79.1273414634146,2021-01-01
Netherlands,NLD,81.4609756097561,2021-01-01
Nepal,NPL,68.45,2021-01-01
Nauru,NRU,63.617,2021-01-01
Namibia,NAM,59.269,2021-01-01
Myanmar,MMR,65.672,2021-01-01
Mozambique,MOZ,59.325,2021-01-01
Morocco,MAR,74.042,2021-01-01
Montenegro,MNE,73.8243902439024,2021-01-01
Mongolia,MNG,70.975,2021-01-01
Moldova,MDA,68.846,2021-01-01
"Micronesia, Fed. Sts.",FSM,70.71,2021-01-01
Mexico,MEX,70.213,2021-01-01
Mauritius,MUS,73.680243902439,2021-01-01
Mauritania,MRT,64.364,2021-01-01
Marshall Islands,MHL,65.269,2021-01-01
Malta,MLT,82.8609756097561,2021-01-01
Mali,MLI,58.941,2021-01-01
Maldives,MDV,79.918,2021-01-01
Malaysia,MYS,74.884,2021-01-01
Malawi,MWI,62.904,2021-01-01
Madagascar,MDG,64.485,2021-01-01
"Macao SAR, China",MAC,85.399,2021-01-01
Luxembourg,LUX,82.7487804878049,2021-01-01
Lithuania,LTU,74.3390243902439,2021-01-01
Liechtenstein,LIE,84.4024390243902,2021-01-01
Libya,LBY,71.911,2021-01-01
Liberia,LBR,60.747,2021-01-01
Lesotho,LSO,53.062,2021-01-01
Lebanon,LBN,75.047,2021-01-01
Latvia,LVA,73.2829268292683,2021-01-01
Lao PDR,LAO,68.061,2021-01-01
Kyrgyz Republic,KGZ,71.9,2021-01-01
Kuwait,KWT,78.673,2021-01-01
Kosovo,XKX,76.806,2021-01-01
"Korea, Rep.",KOR,83.5268292682927,2021-01-01
"Korea, Dem. People's Rep.",PRK,73.284,2021-01-01
Kiribati,KIR,67.417,2021-01-01
Kenya,KEN,61.427,2021-01-01
Kazakhstan,KAZ,70.23,2021-01-01
Jordan,JOR,74.256,2021-01-01
Japan,JPN,84.4456097560976,2021-01-01
Jamaica,JAM,70.5,2021-01-01
Italy,ITA,82.7951219512195,2021-01-01
Israel,ISR,82.5,2021-01-01
Isle of Man,IMN,80.525,2021-01-01
Ireland,IRL,82.1024390243903,2021-01-01
Iraq,IRQ,70.378,2021-01-01
"Iran, Islamic Rep.",IRN,73.875,2021-01-01
Indonesia,IDN,67.57,2021-01-01
India,IND,67.24,2021-01-01
Iceland,ISL,83.1170731707317,2021-01-01
Hungary,HUN,74.4658536585366,2021-01-01
"Hong Kong SAR, China",HKG,85.4926829268293,2021-01-01
Honduras,HND,70.123,2021-01-01
Haiti,HTI,63.192,2021-01-01
Guyana,GUY,65.673,2021-01-01
Guinea-Bissau,GNB,59.652,2021-01-01
Guinea,GIN,58.892,2021-01-01
Guatemala,GTM,69.237,2021-01-01
Guam,GUM,76.656,2021-01-01
Grenada,GRD,74.936,2021-01-01
Greenland,GRL,71.1475609756098,2021-01-01
Greece,GRC,80.1829268292683,2021-01-01
Gibraltar,GIB,79.329,2021-01-01
Ghana,GHA,63.795,2021-01-01
Germany,DEU,80.9009756097561,2021-01-01
Georgia,GEO,71.694,2021-01-01
"Gambia, The",GMB,62.083,2021-01-01
Gabon,GAB,65.821,2021-01-01
French Polynesia,PYF,79.486,2021-01-01
France,FRA,82.3243902439024,2021-01-01
Finland,FIN,81.9341463414634,2021-01-01
Fiji,FJI,67.114,2021-01-01
Faroe Islands,FRO,83.4975609756098,2021-01-01
Ethiopia,ETH,64.975,2021-01-01
Eswatini,SWZ,57.066,2021-01-01
Estonia,EST,76.7414634146342,2021-01-01
Eritrea,ERI,66.536,2021-01-01
Equatorial Guinea,GNQ,60.594,2021-01-01
El Salvador,SLV,70.748,2021-01-01
"Egypt, Arab Rep.",EGY,70.221,2021-01-01
Ecuador,ECU,73.67,2021-01-01
Dominican Republic,DOM,72.615,2021-01-01
Dominica,DMA,72.814,2021-01-01
Djibouti,DJI,62.305,2021-01-01
Denmark,DNK,81.4048780487805,2021-01-01
Czechia,CZE,77.3731707317073,2021-01-01
Cyprus,CYP,81.203,2021-01-01
Cuba,CUB,73.683,2021-01-01
Croatia,HRV,76.4243902439025,2021-01-01
Cote d'Ivoire,CIV,58.598,2021-01-01
Costa Rica,CRI,77.023,2021-01-01
"Congo, Rep.",COG,63.519,2021-01-01
"Congo, Dem. Rep.",COD,59.193,2021-01-01
Comoros,COM,63.417,2021-01-01
Colombia,COL,72.83,2021-01-01
China,CHN,78.211,2021-01-01
Chile,CHL,78.944,2021-01-01
Channel Islands,CHI,81.232,2021-01-01
Chad,TCD,52.525,2021-01-01
Central African Republic,CAF,53.895,2021-01-01
Canada,CAN,82.5966097560976,2021-01-01
Cameroon,CMR,60.333,2021-01-01
Cambodia,KHM,69.584,2021-01-01
