Country,ISO3,value,date
Zimbabwe,ZWE,2.02403630999966,2022-01-01
Zambia,ZMB,2.7580323433586,2022-01-01
"Yemen, Rep.",YEM,2.14462842106017,2022-01-01
West Bank and Gaza,PSE,2.42553777623863,2022-01-01
Virgin Islands (U.S.),VIR,-0.432595819529278,2022-01-01
Viet Nam,VNM,0.734794057662508,2022-01-01
"Venezuela, RB",VEN,0.360447056123405,2022-01-01
Vanuatu,VUT,2.35442699234713,2022-01-01
Uzbekistan,UZB,2.07764491149254,2022-01-01
Uruguay,URY,-0.101211066400464,2022-01-01
United States,USA,0.377564531459432,2022-01-01
United Kingdom,GBR,-0.0819372398142257,2022-01-01
United Arab Emirates,ARE,0.808075150558113,2022-01-01
Ukraine,UKR,-14.2570374896829,2022-01-01
Uganda,UGA,2.99862763969552,2022-01-01
Tuvalu,TUV,0.959325175635466,2022-01-01
Turks and Caicos Islands,TCA,1.29713216358649,2022-01-01
Turkmenistan,TKM,1.39229698415698,2022-01-01
Turkiye,TUR,0.984586244469359,2022-01-01
Tunisia,TUN,0.756904881532985,2022-01-01
Trinidad and Tobago,TTO,0.352078596904598,2022-01-01
Tonga,TON,0.790139166588327,2022-01-01
Togo,TGO,2.33091038438886,2022-01-01
Timor-Leste,TLS,1.52911922954277,2022-01-01
Thailand,THA,0.133884527761643,2022-01-01
Tanzania,TZA,2.95857345225459,2022-01-01
Tajikistan,TJK,2.05787633614157,2022-01-01
Syrian Arab Republic,SYR,3.68690356008785,2022-01-01
Switzerland,CHE,0.814795736256849,2022-01-01
Sweden,SWE,0.68058286829853,2022-01-01
Suriname,SUR,0.821271446595146,2022-01-01
Sudan,SDN,2.63061426078782,2022-01-01
St. Vincent and the Grenadines,VCT,-0.368734813797833,2022-01-01
St. Martin (French part),MAF,-0.49263501943339,2022-01-01
St. Lucia,LCA,0.114601078443679,2022-01-01
St. Kitts and Nevis,KNA,0.107072010901133,2022-01-01
Sri Lanka,LKA,0.112772639779474,2022-01-01
Spain,ESP,0.761701877296859,2022-01-01
South Sudan,SSD,1.52247694994588,2022-01-01
South Africa,ZAF,0.841058243677696,2022-01-01
Somalia,SOM,3.06938435160534,2022-01-01
Solomon Islands,SLB,2.29347735670131,2022-01-01
Slovenia,SVN,0.185163077643301,2022-01-01
Slovak Republic,SVK,-0.284860959688394,2022-01-01
Sint Maarten (Dutch part),SXM,0.420974474552561,2022-01-01
Singapore,SGP,3.30862052439523,2022-01-01
Sierra Leone,SLE,2.17409124204784,2022-01-01
Seychelles,SYC,0.805183391179401,2021-01-01
Serbia,SRB,-2.5170575672922,2022-01-01
Senegal,SEN,2.57217015290678,2022-01-01
Saudi Arabia,SAU,1.2670953577821,2022-01-01
Sao Tome and Principe,STP,1.89711496901471,2022-01-01
San Marino,SMR,-0.252206943270995,2022-01-01
Samoa,WSM,1.64031006593833,2022-01-01
Rwanda,RWA,2.31160323907511,2022-01-01
Russian Federation,RUS,0.0738301203937616,2022-01-01
Romania,ROU,-0.393250873813944,2022-01-01
Qatar,QAT,0.255862791830044,2022-01-01
Puerto Rico,PRI,-1.26161326518099,2022-01-01
Portugal,PRT,0.460948935788035,2022-01-01
Poland,POL,-2.48206113275772,2022-01-01
Philippines,PHL,1.46331572990702,2022-01-01
Peru,PER,0.986112053718798,2022-01-01
Paraguay,PRY,1.14124498151162,2022-01-01
Papua New Guinea,PNG,1.92302821820746,2022-01-01
Panama,PAN,1.30858019134362,2022-01-01
Palau,PLW,0.171845159947773,2022-01-01
Pakistan,PAK,1.89324559780014,2022-01-01
Oman,OMN,1.22741823795981,2022-01-01
Norway,NOR,0.898395220610608,2022-01-01
Northern Mariana Islands,MNP,0.141368470106524,2022-01-01
North Macedonia,MKD,-0.359612890884782,2022-01-01
Nigeria,NGA,2.38000715491565,2022-01-01
Niger,NER,3.71298781842953,2022-01-01
Nicaragua,NIC,1.41827846169398,2022-01-01
New Zealand,NZL,0.248156055246315,2022-01-01
New Caledonia,NCL,-0.433647202048094,2022-01-01
Netherlands,NLD,0.953278922854537,2022-01-01
Nepal,NPL,1.69224660146888,2022-01-01
Nauru,NRU,1.24708713411304,2022-01-01
Namibia,NAM,1.44635918427576,2022-01-01
Myanmar,MMR,0.706117426957398,2022-01-01
Mozambique,MOZ,2.7441930613512,2022-01-01
Morocco,MAR,1.02339197878946,2022-01-01
Montenegro,MNE,-0.323190384386897,2022-01-01
Mongolia,MNG,1.49966908606271,2022-01-01
Monaco,MCO,-0.593262624459316,2022-01-01
Moldova,MDA,-2.21696682736653,2022-01-01
"Micronesia, Fed. Sts.",FSM,0.908957180951961,2022-01-01
Mexico,MEX,0.628607802526073,2022-01-01
Mauritius,MUS,-0.301401216835277,2022-01-01
Mauritania,MRT,2.59160126770452,2022-01-01
Marshall Islands,MHL,-1.15046892532344,2022-01-01
Malta,MLT,2.39653483178468,2022-01-01
Mali,MLI,3.09520925424978,2022-01-01
Maldives,MDV,0.44582965495802,2022-01-01
Malaysia,MYS,1.07936374148797,2022-01-01
Malawi,MWI,2.5591382705715,2022-01-01
Madagascar,MDG,2.37869514981706,2022-01-01
"Macao SAR, China",MAC,1.23914668361251,2022-01-01
Luxembourg,LUX,2.01666790212729,2022-01-01
Lithuania,LTU,1.09366808005007,2022-01-01
Liechtenstein,LIE,0.735015942105173,2022-01-01
Libya,LBY,1.13768828173195,2022-01-01
Liberia,LBR,2.08208722249815,2022-01-01
Lesotho,LSO,1.06255709738439,2022-01-01
Lebanon,LBN,-1.85691249289585,2022-01-01
Latvia,LVA,-0.271369577775699,2022-01-01
Lao PDR,LAO,1.39649568386606,2022-01-01
Kyrgyz Republic,KGZ,2.93148141736729,2022-01-01
Kuwait,KWT,0.44040518714903,2022-01-01
Kosovo,XKX,-1.35587443993054,2022-01-01
"Korea, Rep.",KOR,-0.225898556795999,2022-01-01
"Korea, Dem. People's Rep.",PRK,0.374729560022698,2022-01-01
Kiribati,KIR,1.81315663594675,2022-01-01
Kenya,KEN,1.90951031059953,2022-01-01
Kazakhstan,KAZ,3.21589809559657,2022-01-01
Jordan,JOR,1.22663656612596,2022-01-01
Japan,JPN,-0.443851919148528,2022-01-01
Jamaica,JAM,-0.0112465411699634,2022-01-01
Italy,ITA,-0.326488181067642,2022-01-01
Israel,ISR,1.96636884788361,2022-01-01
Isle of Man,IMN,0.303350115903421,2022-01-01
Ireland,IRL,1.8505037841192,2022-01-01
Iraq,IRQ,2.18691693437269,2022-01-01
"Iran, Islamic Rep.",IRN,0.710745642903734,2022-01-01
Indonesia,IDN,0.636555115146439,2022-01-01
India,IND,0.680372581057012,2022-01-01
Iceland,ISL,2.51377343254216,2022-01-01
Hungary,HUN,-0.690781547965424,2022-01-01
"Hong Kong SAR, China",HKG,-0.907914524343304,2022-01-01
Honduras,HND,1.49211855882432,2022-01-01
Haiti,HTI,1.19334195623455,2022-01-01
Guyana,GUY,0.515592544369467,2022-01-01
Guinea-Bissau,GNB,2.15283930362989,2022-01-01
Guinea,GIN,2.39091413366776,2022-01-01
Guatemala,GTM,1.43986849494773,2022-01-01
Guam,GUM,0.724496899820096,2022-01-01
Grenada,GRD,0.662275264266552,2022-01-01
Greenland,GRL,0.0141200557976914,2022-01-01
Greece,GRC,-1.35539459324563,2022-01-01
Gibraltar,GIB,-0.0612388640957491,2022-01-01
Ghana,GHA,1.93898294382388,2022-01-01
Germany,DEU,0.720875455989295,2022-01-01
Georgia,GEO,0.104889950638883,2022-01-01
"Gambia, The",GMB,2.47214748808282,2022-01-01
Gabon,GAB,2.02168710210066,2022-01-01
French Polynesia,PYF,0.736349222896672,2022-01-01
France,FRA,0.305015246719983,2022-01-01
Finland,FIN,0.271944526506117,2022-01-01
Fiji,FJI,0.556091460082176,2022-01-01
Faroe Islands,FRO,0.379320886225017,2022-01-01
Ethiopia,ETH,2.54208920295403,2022-01-01
Eswatini,SWZ,0.785236419347899,2022-01-01
Estonia,EST,1.33655151148286,2022-01-01
Eritrea,ERI,1.74475945969517,2022-01-01
Equatorial Guinea,GNQ,2.44420928980061,2022-01-01
El Salvador,SLV,0.351368233858255,2022-01-01
"Egypt, Arab Rep.",EGY,1.56907383039584,2022-01-01
Ecuador,ECU,1.13559975243065,2022-01-01
Dominican Republic,DOM,0.992978304770296,2022-01-01
Dominica,DMA,0.44781644121254,2022-01-01
Djibouti,DJI,1.37371534912362,2022-01-01
Denmark,DNK,0.787502464739957,2022-01-01
Czechia,CZE,1.5709725672011,2022-01-01
Cyprus,CYP,0.585013504929064,2022-01-01
Curacao,CUW,-1.56965834139861,2022-01-01
Cuba,CUB,-0.393269982974889,2022-01-01
Croatia,HRV,-0.605075153015409,2022-01-01
Cote d'Ivoire,CIV,2.45270320081193,2022-01-01
Costa Rica,CRI,0.520031291578434,2022-01-01
"Congo, Rep.",COG,2.28055584966535,2022-01-01
"Congo, Dem. Rep.",COD,3.19783510453186,2022-01-01
Comoros,COM,1.82699354985146,2022-01-01
Colombia,COL,0.691481571303501,2022-01-01
China,CHN,-0.0130995013525784,2022-01-01
Chile,CHL,0.565514127974157,2022-01-01
Channel Islands,CHI,0.80516754536027,2022-01-01
Chad,TCD,3.11502218647071,2022-01-01
Central African Republic,CAF,2.21079511675969,2022-01-01
Cayman Islands,CYM,0.83308238204777,2022-01-01
Canada,CAN,1.82337042206996,2022-01-01
Cameroon,CMR,2.59810258830226,2022-01-01
Cambodia,KHM,1.07216738142292,2022-01-01
Cabo Verde,CPV,0.884624344860865,2022-01-01
Burundi,BDI,2.66016084004174,2022-01-01
Burkina Faso,BFA,2.55998839127434,2022-01-01
Bulgaria,BGR,-6.18725298204958,2022-01-01
Brunei Darussalam,BRN,0.811520875721177,2022-01-01
British Virgin Islands,VGB,0.586286459995554,2022-01-01
Brazil,BRA,0.459583548488331,2022-01-01
Botswana,BWA,1.60475774255203,2022-01-01
Bosnia and Herzegovina,BIH,-1.15051398459433,2022-01-01
Bolivia,BOL,1.1902748132628,2022-01-01
Bhutan,BTN,0.63707753130368,2022-01-01
Bermuda,BMU,-0.364505179849171,2022-01-01
Benin,BEN,2.70204108933956,2022-01-01
Belize,BLZ,1.30164025141276,2022-01-01
Belgium,BEL,0.856132433382837,2022-01-01
Belarus,BLR,-0.804228426880244,2022-01-01
Barbados,BRB,0.154574639677083,2022-01-01
Bangladesh,BGD,1.0748367431585,2022-01-01
Bahrain,BHR,0.611005553402689,2022-01-01
"Bahamas, The",BHS,0.508137884368941,2022-01-01
Azerbaijan,AZE,0.039507866238038,2022-01-01
Austria,AUT,0.956287797076634,2022-01-01
Australia,AUS,1.23863879657531,2022-01-01
Aruba,ABW,-0.0863922826549927,2022-01-01
Armenia,ARM,-0.377102034390101,2022-01-01
Argentina,ARG,0.925835473662058,2022-01-01
Antigua and Barbuda,ATG,0.581875832853236,2022-01-01
Angola,AGO,3.09675267067326,2022-01-01
Andorra,AND,0.994607149162366,2022-01-01
American Samoa,ASM,-1.70649548061895,2022-01-01
Algeria,DZA,1.62833925417918,2022-01-01
Albania,ALB,-1.21579032012532,2022-01-01
Afghanistan,AFG,2.53449831666733,2022-01-01
