Country,ISO3,value,date
Zimbabwe,ZWE,32.395,2022-01-01
Zambia,ZMB,45.761,2022-01-01
"Yemen, Rep.",YEM,39.188,2022-01-01
West Bank and Gaza,PSE,77.291,2022-01-01
Virgin Islands (U.S.),VIR,96.136,2022-01-01
Viet Nam,VNM,38.766,2022-01-01
"Venezuela, RB",VEN,88.378,2022-01-01
Vanuatu,VUT,25.816,2022-01-01
Uzbekistan,UZB,50.466,2022-01-01
Uruguay,URY,95.688,2022-01-01
United States,USA,83.084,2022-01-01
United Kingdom,GBR,84.398,2022-01-01
United Arab Emirates,ARE,87.543,2022-01-01
Ukraine,UKR,69.919,2022-01-01
Uganda,UGA,26.159,2022-01-01
Tuvalu,TUV,65.527,2022-01-01
Turks and Caicos Islands,TCA,94.047,2022-01-01
Turkmenistan,TKM,53.494,2022-01-01
Turkiye,TUR,77.022,2022-01-01
Tunisia,TUN,70.214,2022-01-01
Trinidad and Tobago,TTO,53.34,2022-01-01
Tonga,TON,23.125,2022-01-01
Togo,TGO,43.921,2022-01-01
Timor-Leste,TLS,32.074,2022-01-01
Thailand,THA,52.889,2022-01-01
Tanzania,TZA,36.682,2022-01-01
Tajikistan,TJK,27.968,2022-01-01
Syrian Arab Republic,SYR,56.769,2022-01-01
Switzerland,CHE,74.092,2022-01-01
Sweden,SWE,88.492,2022-01-01
Suriname,SUR,66.307,2022-01-01
Sudan,SDN,35.956,2022-01-01
St. Vincent and the Grenadines,VCT,53.875,2022-01-01
St. Lucia,LCA,19.05,2022-01-01
St. Kitts and Nevis,KNA,30.991,2022-01-01
Sri Lanka,LKA,19.026,2022-01-01
Spain,ESP,81.304,2022-01-01
South Sudan,SSD,20.846,2022-01-01
South Africa,ZAF,68.335,2022-01-01
Somalia,SOM,47.324,2022-01-01
Solomon Islands,SLB,25.584,2022-01-01
Slovenia,SVN,55.751,2022-01-01
Slovak Republic,SVK,53.909,2022-01-01
Sint Maarten (Dutch part),SXM,100.0,2022-01-01
Singapore,SGP,100.0,2022-01-01
Sierra Leone,SLE,43.831,2022-01-01
Seychelles,SYC,58.396,2022-01-01
Serbia,SRB,56.873,2022-01-01
Senegal,SEN,49.086,2022-01-01
Saudi Arabia,SAU,84.729,2022-01-01
Sao Tome and Principe,STP,75.755,2022-01-01
San Marino,SMR,97.732,2022-01-01
Samoa,WSM,17.616,2022-01-01
Rwanda,RWA,17.721,2022-01-01
Russian Federation,RUS,75.126,2022-01-01
Romania,ROU,54.489,2022-01-01
Qatar,QAT,99.318,2022-01-01
Puerto Rico,PRI,93.61,2022-01-01
Portugal,PRT,67.381,2022-01-01
Poland,POL,60.134,2022-01-01
Philippines,PHL,47.977,2022-01-01
Peru,PER,78.708,2022-01-01
Paraguay,PRY,62.818,2022-01-01
Papua New Guinea,PNG,13.582,2022-01-01
Panama,PAN,69.141,2022-01-01
Palau,PLW,81.956,2022-01-01
Pakistan,PAK,37.731,2022-01-01
Oman,OMN,87.75,2022-01-01
Norway,NOR,83.664,2022-01-01
Northern Mariana Islands,MNP,91.983,2022-01-01
North Macedonia,MKD,59.118,2022-01-01
Nigeria,NGA,53.521,2022-01-01
Niger,NER,16.894,2022-01-01
Nicaragua,NIC,59.556,2022-01-01
New Zealand,NZL,86.884,2022-01-01
New Caledonia,NCL,72.325,2022-01-01
Netherlands,NLD,92.886,2022-01-01
Nepal,NPL,21.451,2022-01-01
Nauru,NRU,100.0,2022-01-01
Namibia,NAM,53.956,2022-01-01
Myanmar,MMR,31.771,2022-01-01
Mozambique,MOZ,38.187,2022-01-01
Morocco,MAR,64.596,2022-01-01
Montenegro,MNE,68.164,2022-01-01
Mongolia,MNG,68.93,2022-01-01
Monaco,MCO,100.0,2022-01-01
Moldova,MDA,43.173,2022-01-01
"Micronesia, Fed. Sts.",FSM,23.217,2022-01-01
Mexico,MEX,81.3,2022-01-01
Mauritius,MUS,40.81,2022-01-01
Mauritania,MRT,56.923,2022-01-01
Marshall Islands,MHL,78.52,2022-01-01
Malta,MLT,94.875,2022-01-01
Mali,MLI,45.437,2022-01-01
Maldives,MDV,41.536,2022-01-01
Malaysia,MYS,78.214,2022-01-01
Malawi,MWI,17.98,2022-01-01
Madagascar,MDG,39.882,2022-01-01
"Macao SAR, China",MAC,100.0,2022-01-01
Luxembourg,LUX,91.881,2022-01-01
Lithuania,LTU,68.465,2022-01-01
Liechtenstein,LIE,14.538,2022-01-01
Libya,LBY,81.302,2022-01-01
Liberia,LBR,53.065,2022-01-01
Lesotho,LSO,29.943,2022-01-01
Lebanon,LBN,89.262,2022-01-01
Latvia,LVA,68.54,2022-01-01
Lao PDR,LAO,37.592,2022-01-01
Kyrgyz Republic,KGZ,37.461,2022-01-01
Kuwait,KWT,100.0,2022-01-01
"Korea, Rep.",KOR,81.427,2022-01-01
"Korea, Dem. People's Rep.",PRK,62.916,2022-01-01
Kiribati,KIR,57.058,2022-01-01
Kenya,KEN,29.002,2022-01-01
Kazakhstan,KAZ,57.99,2022-01-01
Jordan,JOR,91.827,2022-01-01
Japan,JPN,91.955,2022-01-01
Jamaica,JAM,57.008,2022-01-01
Italy,ITA,71.657,2022-01-01
Israel,ISR,92.763,2022-01-01
Isle of Man,IMN,53.271,2022-01-01
Ireland,IRL,64.183,2022-01-01
Iraq,IRQ,71.354,2022-01-01
"Iran, Islamic Rep.",IRN,76.807,2022-01-01
Indonesia,IDN,57.934,2022-01-01
India,IND,35.872,2022-01-01
Iceland,ISL,93.992,2022-01-01
Hungary,HUN,72.552,2022-01-01
"Hong Kong SAR, China",HKG,100.0,2022-01-01
Honduras,HND,59.6,2022-01-01
Haiti,HTI,58.82,2022-01-01
Guyana,GUY,27.022,2022-01-01
Guinea-Bissau,GNB,45.041,2022-01-01
Guinea,GIN,37.668,2022-01-01
Guatemala,GTM,52.666,2022-01-01
Guam,GUM,95.091,2022-01-01
Grenada,GRD,36.868,2022-01-01
Greenland,GRL,87.727,2022-01-01
Greece,GRC,80.357,2022-01-01
Gibraltar,GIB,100.0,2022-01-01
Ghana,GHA,58.615,2022-01-01
Germany,DEU,77.648,2022-01-01
Georgia,GEO,60.297,2022-01-01
"Gambia, The",GMB,63.852,2022-01-01
Gabon,GAB,90.735,2022-01-01
French Polynesia,PYF,62.17,2022-01-01
France,FRA,81.509,2022-01-01
Finland,FIN,85.681,2022-01-01
Fiji,FJI,58.229,2022-01-01
Faroe Islands,FRO,42.779,2022-01-01
Ethiopia,ETH,22.661,2022-01-01
Eswatini,SWZ,24.576,2022-01-01
Estonia,EST,69.609,2022-01-01
Eritrea,ERI,42.625,2022-01-01
Equatorial Guinea,GNQ,74.01,2022-01-01
El Salvador,SLV,74.767,2022-01-01
"Egypt, Arab Rep.",EGY,42.967,2022-01-01
Ecuador,ECU,64.57,2022-01-01
Dominican Republic,DOM,83.848,2022-01-01
Dominica,DMA,71.7,2022-01-01
Djibouti,DJI,78.38,2022-01-01
Denmark,DNK,88.367,2022-01-01
Czechia,CZE,74.377,2022-01-01
Cyprus,CYP,66.911,2022-01-01
Curacao,CUW,89.025,2022-01-01
Cuba,CUB,77.401,2022-01-01
Croatia,HRV,58.219,2022-01-01
Cote d'Ivoire,CIV,52.661,2022-01-01
Costa Rica,CRI,82.042,2022-01-01
"Congo, Rep.",COG,68.736,2022-01-01
"Congo, Dem. Rep.",COD,46.837,2022-01-01
Comoros,COM,29.864,2022-01-01
Colombia,COL,82.05,2022-01-01
China,CHN,63.56,2022-01-01
Chile,CHL,87.912,2022-01-01
Channel Islands,CHI,31.077,2022-01-01
Chad,TCD,24.063,2022-01-01
Central African Republic,CAF,43.12,2022-01-01
Cayman Islands,CYM,100.0,2022-01-01
Canada,CAN,81.752,2022-01-01
Cameroon,CMR,58.733,2022-01-01
Cambodia,KHM,25.114,2022-01-01
Cabo Verde,CPV,67.545,2022-01-01
Burundi,BDI,14.417,2022-01-01
Burkina Faso,BFA,31.877,2022-01-01
Bulgaria,BGR,76.363,2022-01-01
Brunei Darussalam,BRN,78.854,2022-01-01
British Virgin Islands,VGB,49.331,2022-01-01
Brazil,BRA,87.555,2022-01-01
Botswana,BWA,72.224,2022-01-01
Bosnia and Herzegovina,BIH,49.841,2022-01-01
Bolivia,BOL,70.83,2022-01-01
Bhutan,BTN,43.686,2022-01-01
Bermuda,BMU,100.0,2022-01-01
Benin,BEN,49.534,2022-01-01
Belize,BLZ,46.396,2022-01-01
Belgium,BEL,98.153,2022-01-01
Belarus,BLR,80.326,2022-01-01
Barbados,BRB,31.324,2022-01-01
Bangladesh,BGD,39.711,2022-01-01
Bahrain,BHR,89.743,2022-01-01
"Bahamas, The",BHS,83.492,2022-01-01
Azerbaijan,AZE,57.17,2022-01-01
Austria,AUT,59.256,2022-01-01
Australia,AUS,86.488,2022-01-01
Aruba,ABW,44.052,2022-01-01
Armenia,ARM,63.573,2022-01-01
Argentina,ARG,92.347,2022-01-01
Antigua and Barbuda,ATG,24.346,2022-01-01
Angola,AGO,68.081,2022-01-01
Andorra,AND,87.811,2022-01-01
American Samoa,ASM,87.196,2022-01-01
